,gene_ids
CCDC15,ENSG00000149548
SLC37A2,ENSG00000134955
FEZ1,ENSG00000149557
EI24,ENSG00000149547
RPUSD4,ENSG00000165526
AP001318.2,ENSG00000255062
ST3GAL4,ENSG00000110080
LINC02725,ENSG00000273415
ARHGAP32,ENSG00000134909
TMEM45B,ENSG00000151715
NFRKB,ENSG00000170322
APLP2,ENSG00000084234
ST14,ENSG00000149418
SNX19,ENSG00000120451
JAM3,ENSG00000166086
ACAD8,ENSG00000151498
B3GAT1,ENSG00000109956
NINJ2,ENSG00000171840
AC021054.1,ENSG00000177406
ERC1,ENSG00000082805
FBXL14,ENSG00000171823
DCP1B,ENSG00000151065
FKBP4,ENSG00000004478
TEX52,ENSG00000283297
TULP3,ENSG00000078246
PARP11,ENSG00000111224
AC005842.1,ENSG00000256862
CCND2-AS1,ENSG00000255920
TIGAR,ENSG00000078237
DYRK4,ENSG00000010219
TNFRSF1A,ENSG00000067182
CD27-AS1,ENSG00000215039
MRPL51,ENSG00000111639
IFFO1,ENSG00000010295
LPCAT3,ENSG00000111684
CLSTN3,ENSG00000139182
PEX5,ENSG00000139197
SLC2A3,ENSG00000059804
C3AR1,ENSG00000171860
CLEC4A,ENSG00000111729
CLEC4E,ENSG00000166523
KLRG1,ENSG00000139187
AC006581.1,ENSG00000257105
LINC00612,ENSG00000214851
A2M-AS1,ENSG00000245105
A2M,ENSG00000175899
PZP,ENSG00000126838
KLRB1,ENSG00000111796
CLECL1,ENSG00000184293
CD69,ENSG00000110848
KLRF1,ENSG00000150045
CLEC12A,ENSG00000172322
CLEC7A,ENSG00000172243
OLR1,ENSG00000173391
KLRD1,ENSG00000134539
AC022075.1,ENSG00000245648
KLRK1,ENSG00000213809
KLRC4,ENSG00000183542
KLRC3,ENSG00000205810
KLRC2,ENSG00000205809
KLRC1,ENSG00000134545
LINC02446,ENSG00000256039
YBX3,ENSG00000060138
PRH1,ENSG00000231887
PRR4,ENSG00000111215
AC244131.2,ENSG00000275119
ETV6,ENSG00000139083
DUSP16,ENSG00000111266
AC008115.1,ENSG00000256658
APOLD1,ENSG00000178878
AC023790.2,ENSG00000255621
FAM234B,ENSG00000084444
EMP1,ENSG00000134531
ATF7IP,ENSG00000171681
PLBD1,ENSG00000121316
AC010168.1,ENSG00000214772
C12orf60,ENSG00000182993
ERP27,ENSG00000139055
PTPRO,ENSG00000151490
DERA,ENSG00000023697
MGST1,ENSG00000008394
PLEKHA5,ENSG00000052126
RECQL,ENSG00000004700
CMAS,ENSG00000111726
ST8SIA1,ENSG00000111728
AC053513.1,ENSG00000250166
C2CD5,ENSG00000111731
SOX5,ENSG00000134532
LRMP,ENSG00000118308
AC023510.1,ENSG00000258449
ITPR2,ENSG00000123104
INTS13,ENSG00000064102
MED21,ENSG00000152944
STK38L,ENSG00000211455
MRPS35,ENSG00000061794
KLHL42,ENSG00000087448
CCDC91,ENSG00000123106
AC024940.1,ENSG00000177340
DENND5B,ENSG00000170456
DENND5B-AS1,ENSG00000255867
AMN1,ENSG00000151743
LINC02422,ENSG00000255760
BICD1,ENSG00000151746
FGD4,ENSG00000139132
CPNE8,ENSG00000139117
ABCD2,ENSG00000173208
SLC2A13,ENSG00000151229
LRRK2,ENSG00000188906
GXYLT1,ENSG00000151233
YAF2,ENSG00000015153
TMEM117,ENSG00000139173
NELL2,ENSG00000184613
ANO6,ENSG00000177119
ARID2,ENSG00000189079
AC008014.1,ENSG00000257261
AC008035.1,ENSG00000272369
LINC02416,ENSG00000257924
LINC02156,ENSG00000257906
AC004241.3,ENSG00000276390
PFKM,ENSG00000152556
CACNB3,ENSG00000167535
RND1,ENSG00000172602
FKBP11,ENSG00000134285
PRKAG1,ENSG00000181929
AC011603.2,ENSG00000258017
FMNL3,ENSG00000161791
SMARCD1,ENSG00000066117
AC074032.1,ENSG00000272368
DIP2B,ENSG00000066084
ATF1,ENSG00000123268
METTL7A,ENSG00000185432
TFCP2,ENSG00000135457
POU6F1,ENSG00000184271
AC068987.2,ENSG00000260473
NR4A1,ENSG00000123358
AC068888.1,ENSG00000257337
ZNF740,ENSG00000139651
AAAS,ENSG00000094914
MAP3K12,ENSG00000139625
AC023509.6,ENSG00000285692
ZNF385A,ENSG00000161642
ITGA5,ENSG00000161638
RDH5,ENSG00000135437
CD63,ENSG00000135404
ORMDL2,ENSG00000123353
CDK2,ENSG00000123374
COQ10A,ENSG00000135469
AC073896.2,ENSG00000257303
PAN2,ENSG00000135473
IL23A,ENSG00000110944
RBMS2,ENSG00000076067
ZBTB39,ENSG00000166860
NEMP1,ENSG00000166881
LRP1,ENSG00000123384
AC025165.2,ENSG00000257342
TSPAN31,ENSG00000135452
CDK4,ENSG00000135446
MARCH9,ENSG00000139266
CTDSP2,ENSG00000175215
ATP23,ENSG00000166896
GIHCG,ENSG00000257698
TAFA2,ENSG00000198673
RXYLT1,ENSG00000118600
XPOT,ENSG00000184575
TBK1,ENSG00000183735
RASSF3,ENSG00000153179
GNS,ENSG00000135677
AC026124.2,ENSG00000276853
IRAK3,ENSG00000090376
GRIP1,ENSG00000155974
IFNG-AS1,ENSG00000255733
IFNG,ENSG00000111537
LINC02384,ENSG00000251301
LYZ,ENSG00000090382
AC020656.1,ENSG00000257764
YEATS4,ENSG00000127337
FRS2,ENSG00000166225
THAP2,ENSG00000173451
CAPS2,ENSG00000180881
GLIPR1,ENSG00000139278
AC121761.1,ENSG00000257497
PHLDA1,ENSG00000139289
ZDHHC17,ENSG00000186908
PAWR,ENSG00000177425
METTL25,ENSG00000127720
TMTC2,ENSG00000179104
SLC6A15,ENSG00000072041
CEP290,ENSG00000198707
DUSP6,ENSG00000139318
POC1B,ENSG00000139323
ATP2B1,ENSG00000070961
ATP2B1-AS1,ENSG00000271614
AC009522.1,ENSG00000258216
LINC02404,ENSG00000257893
LINC01619,ENSG00000257242
LINC02391,ENSG00000277851
SOCS2,ENSG00000120833
CRADD,ENSG00000169372
PLXNC1,ENSG00000136040
TMCC3,ENSG00000057704
TMPO,ENSG00000120802
IKBIP,ENSG00000166130
APAF1,ENSG00000120868
ANKS1B,ENSG00000185046
GAS2L3,ENSG00000139354
CHPT1,ENSG00000111666
GNPTAB,ENSG00000111670
DRAM1,ENSG00000136048
NUP37,ENSG00000075188
PARPBP,ENSG00000185480
HCFC2,ENSG00000111727
EID3,ENSG00000255150
CHST11,ENSG00000171310
SLC41A2,ENSG00000136052
C12orf45,ENSG00000151131
APPL2,ENSG00000136044
AC007541.1,ENSG00000260329
CRY1,ENSG00000008405
BTBD11,ENSG00000151136
PRDM4,ENSG00000110851
AC007622.2,ENSG00000258136
CORO1C,ENSG00000110880
SSH1,ENSG00000084112
USP30-AS1,ENSG00000256262
ACACB,ENSG00000076555
UBE3B,ENSG00000151148
MMAB,ENSG00000139428
GIT2,ENSG00000139436
ATP2A2,ENSG00000174437
HVCN1,ENSG00000122986
ATXN2,ENSG00000204842
BRAP,ENSG00000089234
ACAD10,ENSG00000111271
ALDH2,ENSG00000111275
MAPKAPK5-AS1,ENSG00000234608
OAS1,ENSG00000089127
OAS3,ENSG00000111331
OAS2,ENSG00000111335
MED13L,ENSG00000123066
MAP1LC3B2,ENSG00000258102
HRK,ENSG00000135116
FBXW8,ENSG00000174989
RFC5,ENSG00000111445
TAOK3,ENSG00000135090
BICDL1,ENSG00000135127
RAB35,ENSG00000111737
PXN-AS1,ENSG00000255857
GATC,ENSG00000257218
OASL,ENSG00000135114
P2RX4,ENSG00000135124
CAMKK2,ENSG00000110931
TMEM120B,ENSG00000188735
BCL7A,ENSG00000110987
CCDC62,ENSG00000130783
TMED2-DT,ENSG00000247373
ATP6V0A2,ENSG00000185344
CCDC92,ENSG00000119242
SLC15A4,ENSG00000139370
ULK1,ENSG00000177169
NOC4L,ENSG00000184967
POLE,ENSG00000177084
PXMP2,ENSG00000176894
PGAM5,ENSG00000247077
ANKLE2,ENSG00000176915
GOLGA3,ENSG00000090615
ZNF26,ENSG00000198393
ZNF268,ENSG00000090612
AL355001.1,ENSG00000223576
AL355001.2,ENSG00000275964
CRYL1,ENSG00000165475
IFT88,ENSG00000032742
LATS2,ENSG00000150457
ZDHHC20,ENSG00000180776
MICU2,ENSG00000165487
AL136962.1,ENSG00000276476
SACS,ENSG00000151835
MIPEP,ENSG00000027001
CENPJ,ENSG00000151849
RNF6,ENSG00000127870
CDK8,ENSG00000132964
USP12-AS1,ENSG00000232162
LNX2,ENSG00000139517
PAN3-AS1,ENSG00000261485
PAN3,ENSG00000152520
HSPH1,ENSG00000120694
FRY,ENSG00000073910
AL139383.1,ENSG00000230490
RFC3,ENSG00000133119
NBEA,ENSG00000172915
RFXAP,ENSG00000133111
NHLRC3,ENSG00000188811
LHFPL6,ENSG00000183722
COG6,ENSG00000133103
LINC00598,ENSG00000215483
MRPS31,ENSG00000102738
WBP4,ENSG00000120688
AL354696.2,ENSG00000278390
MTRF1,ENSG00000120662
VWA8,ENSG00000102763
LINC02341,ENSG00000283554
EPSTI1,ENSG00000133106
TSC22D1,ENSG00000102804
AL359706.1,ENSG00000223732
GPALPP1,ENSG00000133114
COG3,ENSG00000136152
CPB2-AS1,ENSG00000235903
RUBCNL,ENSG00000102445
SUCLA2,ENSG00000136143
RB1-DT,ENSG00000231473
RCBTB2,ENSG00000136161
CYSLTR2,ENSG00000152207
CDADC1,ENSG00000102543
DLEU1,ENSG00000176124
WDFY2,ENSG00000139668
ALG11,ENSG00000253710
TDRD3,ENSG00000083544
PCDH9,ENSG00000184226
PCDH9-AS2,ENSG00000228842
BORA,ENSG00000136122
DIS3,ENSG00000083520
PIBF1,ENSG00000083535
KLF12,ENSG00000118922
AL353660.1,ENSG00000286330
LMO7,ENSG00000136153
KCTD12,ENSG00000178695
CLN5,ENSG00000102805
MYCBP2-AS1,ENSG00000236051
NDFIP2,ENSG00000102471
GPC5,ENSG00000179399
ABCC4,ENSG00000125257
DNAJC3-DT,ENSG00000247400
PCCA,ENSG00000175198
GGACT,ENSG00000134864
TNFSF13B,ENSG00000102524
AL162497.1,ENSG00000275741
RAB20,ENSG00000139832
NAXD,ENSG00000213995
ING1,ENSG00000153487
TUBGCP3,ENSG00000126216
AL139384.1,ENSG00000274922
ATP11A,ENSG00000068650
PCID2,ENSG00000126226
TMCO3,ENSG00000150403
RASA3,ENSG00000185989
OR11G2,ENSG00000196832
TEP1,ENSG00000129566
PNP,ENSG00000198805
RNASE6,ENSG00000169413
RNASE2,ENSG00000169385
ARHGEF40,ENSG00000165801
LINC00641,ENSG00000258441
TRDC,ENSG00000211829
SLC7A7,ENSG00000155465
PRMT5-AS1,ENSG00000237054
HAUS4,ENSG00000092036
PPP1R3E,ENSG00000235194
DHRS4L2,ENSG00000187630
RNF31,ENSG00000092098
MDP1,ENSG00000213920
RABGGTA,ENSG00000100949
DHRS1,ENSG00000157379
NOP9,ENSG00000196943
CIDEB,ENSG00000136305
GZMH,ENSG00000100450
GZMB,ENSG00000100453
SCFD1,ENSG00000092108
HEATR5A,ENSG00000129493
AL163973.2,ENSG00000257155
AKAP6,ENSG00000151320
SPTSSA,ENSG00000165389
SNX6,ENSG00000129515
NFKBIA,ENSG00000100906
BRMS1L,ENSG00000100916
MBIP,ENSG00000151332
AL392023.2,ENSG00000259048
GEMIN2,ENSG00000092208
TRAPPC6B,ENSG00000182400
LINC02315,ENSG00000251363
C14orf28,ENSG00000179476
AL139099.1,ENSG00000258377
POLE2,ENSG00000100479
KLHDC1,ENSG00000197776
AL627171.2,ENSG00000282885
LINC01588,ENSG00000214900
PYGL,ENSG00000100504
GNG2,ENSG00000186469
PTGDR,ENSG00000168229
PTGER2,ENSG00000125384
TXNDC16,ENSG00000087301
GPR137C,ENSG00000180998
AL133453.1,ENSG00000258757
AL365295.1,ENSG00000237356
LGALS3,ENSG00000131981
AL158801.2,ENSG00000258413
FBXO34,ENSG00000178974
ATG14,ENSG00000126775
PELI2,ENSG00000139946
TMEM260,ENSG00000070269
EXOC5,ENSG00000070367
ARMH4,ENSG00000139971
AL139021.1,ENSG00000258378
LINC01500,ENSG00000258583
DAAM1,ENSG00000100592
JKAMP,ENSG00000050130
AL157911.1,ENSG00000258553
PCNX4,ENSG00000126773
SLC38A6,ENSG00000139974
PRKCH,ENSG00000027075
AL359220.1,ENSG00000247287
LINC01303,ENSG00000250548
AL355916.1,ENSG00000232774
HIF1A,ENSG00000100644
HIF1A-AS3,ENSG00000258667
WDR89,ENSG00000140006
SGPP1,ENSG00000126821
SYNE2,ENSG00000054654
ESR2,ENSG00000140009
AL122035.1,ENSG00000258824
AL049869.3,ENSG00000259116
AL355076.2,ENSG00000258760
FUT8,ENSG00000033170
AL359232.1,ENSG00000258561
GPHN,ENSG00000171723
AL049779.4,ENSG00000286861
RDH11,ENSG00000072042
ZFYVE26,ENSG00000072121
RAD51B,ENSG00000182185
SLC39A9,ENSG00000029364
SUSD6,ENSG00000100647
SLC10A1,ENSG00000100652
AL357153.2,ENSG00000257759
AL357153.1,ENSG00000245466
MAP3K9,ENSG00000006432
SIPA1L1,ENSG00000197555
ZFYVE1,ENSG00000165861
NUMB,ENSG00000133961
RIOX1,ENSG00000170468
AC005225.2,ENSG00000258603
PTGR2,ENSG00000140043
AC005480.1,ENSG00000258891
FAM161B,ENSG00000156050
COQ6,ENSG00000119723
ALDH6A1,ENSG00000119711
LIN52,ENSG00000205659
ABCD4,ENSG00000119688
NPC2,ENSG00000119655
ISCA2,ENSG00000165898
AREL1,ENSG00000119682
FCF1,ENSG00000119616
MLH3,ENSG00000119684
ACYP1,ENSG00000119640
FOS,ENSG00000170345
LINC01220,ENSG00000259687
JDP2,ENSG00000140044
BATF,ENSG00000156127
IFT43,ENSG00000119650
TGFB3,ENSG00000119699
IRF2BPL,ENSG00000119669
TMED8,ENSG00000100580
AHSA1,ENSG00000100591
CEP128,ENSG00000100629
AL136040.2,ENSG00000286686
SEL1L,ENSG00000071537
LINC02328,ENSG00000258733
LINC02316,ENSG00000258912
GALC,ENSG00000054983
LINC01146,ENSG00000258867
AL357093.2,ENSG00000258752
EFCAB11,ENSG00000140025
NRDE2,ENSG00000119720
AL135818.1,ENSG00000258875
AL121839.2,ENSG00000260711
ATXN3,ENSG00000066427
RIN3,ENSG00000100599
GOLGA5,ENSG00000066455
ITPK1,ENSG00000100605
GON7,ENSG00000170270
BTBD7,ENSG00000011114
UNC79,ENSG00000133958
SERPINA1,ENSG00000197249
CLMN,ENSG00000165959
SNHG10,ENSG00000247092
TCL1A,ENSG00000100721
LINC02325,ENSG00000246084
LINC01550,ENSG00000246223
AL163932.1,ENSG00000259097
BCL11B,ENSG00000127152
SETD3,ENSG00000183576
CCDC85C,ENSG00000205476
DEGS2,ENSG00000168350
AL133523.1,ENSG00000258982
AL157871.4,ENSG00000258666
WARS,ENSG00000140105
AL137779.2,ENSG00000259088
WDR20,ENSG00000140153
ZNF839,ENSG00000022976
RCOR1,ENSG00000089902
TRAF3,ENSG00000131323
TNFAIP2,ENSG00000185215
CKB,ENSG00000166165
PPP1R13B,ENSG00000088808
INF2,ENSG00000203485
CDCA4,ENSG00000170779
TEX22,ENSG00000226174
CRIP2,ENSG00000182809
CRIP1,ENSG00000213145
IGHE,ENSG00000211891
IGHA1,ENSG00000211895
IGHG3,ENSG00000211897
IGHD,ENSG00000211898
IGHM,ENSG00000211899
FAM30A,ENSG00000226777
CYFIP1,ENSG00000273749
ATP10A,ENSG00000206190
APBA2,ENSG00000034053
ARHGAP11B,ENSG00000284906
FAN1,ENSG00000198690
MTMR10,ENSG00000166912
FMN1,ENSG00000248905
AVEN,ENSG00000169857
CHRM5,ENSG00000184984
EMC7,ENSG00000134153
PGBD4,ENSG00000182405
KATNBL1,ENSG00000134152
AC021231.1,ENSG00000259336
DPH6,ENSG00000134146
SPRED1,ENSG00000166068
LINC02694,ENSG00000175779
AC013652.1,ENSG00000259345
THBS1,ENSG00000137801
EIF2AK4,ENSG00000128829
PLCB2,ENSG00000137841
VPS18,ENSG00000104142
AC020661.3,ENSG00000259617
CHP1,ENSG00000187446
OIP5-AS1,ENSG00000247556
MAPKBP1,ENSG00000137802
TMEM87A,ENSG00000103978
GANC,ENSG00000214013
AC018362.1,ENSG00000261684
LRRC57,ENSG00000180979
HAUS2,ENSG00000137814
STARD9,ENSG00000159433
TTBK2,ENSG00000128881
TMEM62,ENSG00000137842
PPIP5K1,ENSG00000168781
MFAP1,ENSG00000140259
FRMD5,ENSG00000171877
CASC4,ENSG00000166734
EIF3J-DT,ENSG00000179523
TRIM69,ENSG00000185880
SORD,ENSG00000140263
DUOX1,ENSG00000137857
SHF,ENSG00000138606
C15orf48,ENSG00000166920
SLC30A4,ENSG00000104154
SQOR,ENSG00000137767
MYEF2,ENSG00000104177
CEP152,ENSG00000103995
SECISBP2L,ENSG00000138593
ATP8B4,ENSG00000104043
GABPB1,ENSG00000104064
TRPM7,ENSG00000092439
DMXL2,ENSG00000104093
TMOD2,ENSG00000128872
LEO1,ENSG00000166477
MAPK6-DT,ENSG00000259438
AC023906.4,ENSG00000259709
CERNA1,ENSG00000259577
MYO5A,ENSG00000197535
FAM214A,ENSG00000047346
PIGB,ENSG00000069943
TEX9,ENSG00000151575
TCF12,ENSG00000140262
LINC00926,ENSG00000247982
ALDH1A2,ENSG00000128918
AQP9,ENSG00000103569
ADAM10,ENSG00000137845
MYO1E,ENSG00000157483
ANXA2,ENSG00000182718
ICE2,ENSG00000128915
RORA-AS1,ENSG00000245534
RORA,ENSG00000069667
LACTB,ENSG00000103642
APH1B,ENSG00000138613
USP3-AS1,ENSG00000259248
HERC1,ENSG00000103657
DAPK2,ENSG00000035664
SNX22,ENSG00000157734
CSNK1G1,ENSG00000169118
TRIP4,ENSG00000103671
ZNF609,ENSG00000180357
OAZ2,ENSG00000180304
ANKDD1A,ENSG00000166839
AC103691.1,ENSG00000274383
MTFMT,ENSG00000103707
CLPX,ENSG00000166855
PARP16,ENSG00000138617
HACD3,ENSG00000074696
ZWILCH,ENSG00000174442
AAGAB,ENSG00000103591
IQCH,ENSG00000103599
MAP2K5,ENSG00000137764
AC009292.2,ENSG00000259410
CALML4,ENSG00000129007
DRAIC,ENSG00000245750
TLE3,ENSG00000140332
UACA,ENSG00000137831
MYO9A,ENSG00000066933
PARP6,ENSG00000137817
AC009690.2,ENSG00000261460
TMEM202-AS1,ENSG00000261423
BBS4,ENSG00000140463
ARID3B,ENSG00000179361
CLK3,ENSG00000179335
PPCDC,ENSG00000138621
C15orf39,ENSG00000167173
NEIL1,ENSG00000140398
MAN2C1,ENSG00000140400
PTPN9,ENSG00000169410
SCAPER,ENSG00000140386
PSTPIP1,ENSG00000140368
TSPAN3,ENSG00000140391
HMG20A,ENSG00000140382
LINGO1,ENSG00000169783
TBC1D2B,ENSG00000167202
DNAJA4,ENSG00000140403
CTSH,ENSG00000103811
MTHFS,ENSG00000136371
BCL2A1,ENSG00000140379
TLNRD1,ENSG00000140406
AC104041.1,ENSG00000259692
EFL1,ENSG00000140598
HOMER2,ENSG00000103942
AC012291.3,ENSG00000285667
PDE8A,ENSG00000073417
AC087286.2,ENSG00000259367
ABHD2,ENSG00000140526
FANCI,ENSG00000140525
ANPEP,ENSG00000166825
ZNF710,ENSG00000140548
CRTC3-AS1,ENSG00000259736
BLM,ENSG00000197299
MAN2A2,ENSG00000196547
HDDC3,ENSG00000184508
PRC1,ENSG00000198901
MCTP2,ENSG00000140563
AC009432.2,ENSG00000287950
ARRDC4,ENSG00000140450
IGF1R,ENSG00000140443
MEF2A,ENSG00000068305
AC090825.1,ENSG00000259363
ADAMTS17,ENSG00000140470
LINS1,ENSG00000140471
ASB7,ENSG00000183475
CHSY1,ENSG00000131873
SNRNP25,ENSG00000161981
HBA2,ENSG00000188536
FAM234A,ENSG00000167930
RAB11FIP3,ENSG00000090565
PIGQ,ENSG00000007541
RAB40C,ENSG00000197562
ANTKMT,ENSG00000103254
CIAO3,ENSG00000103245
CHTF18,ENSG00000127586
AL031714.1,ENSG00000261505
CLCN7,ENSG00000103249
IFT140,ENSG00000187535
CRAMP1,ENSG00000007545
JPT2,ENSG00000206053
EME2,ENSG00000197774
MSRB1,ENSG00000198736
SNHG9,ENSG00000255198
ZNF598,ENSG00000167962
NTHL1,ENSG00000065057
RAB26,ENSG00000167964
TRAF7,ENSG00000131653
E4F1,ENSG00000167967
ECI1,ENSG00000167969
CCNF,ENSG00000162063
TBC1D24,ENSG00000162065
PDPK1,ENSG00000140992
KCTD5,ENSG00000167977
PRSS21,ENSG00000007038
FLYWCH2,ENSG00000162076
FLYWCH1,ENSG00000059122
TNFRSF12A,ENSG00000006327
THOC6,ENSG00000131652
ZNF213-AS1,ENSG00000263072
ZNF200,ENSG00000010539
MEFV,ENSG00000103313
ZNF75A,ENSG00000162086
NLRC3,ENSG00000167984
DNASE1,ENSG00000213918
TFAP4,ENSG00000090447
PAM16,ENSG00000217930
CORO7,ENSG00000262246
NMRAL1,ENSG00000153406
NAGPA,ENSG00000103174
ABAT,ENSG00000183044
CIITA,ENSG00000179583
DEXI,ENSG00000182108
CLEC16A,ENSG00000038532
RMI2,ENSG00000175643
AC099489.1,ENSG00000188897
LITAF,ENSG00000189067
SNN,ENSG00000184602
AC007216.4,ENSG00000263307
AC007216.2,ENSG00000261216
SNX29,ENSG00000048471
CPPED1,ENSG00000103381
ERCC4,ENSG00000175595
MRTFB,ENSG00000186260
BMERB1,ENSG00000166780
MYH11,ENSG00000133392
XYLT1,ENSG00000103489
AC099518.4,ENSG00000261465
GDE1,ENSG00000006007
VPS35L,ENSG00000103544
ACSM3,ENSG00000005187
AC005632.3,ENSG00000261596
IGSF6,ENSG00000140749
SDR42E2,ENSG00000183921
EEF2K,ENSG00000103319
GGA2,ENSG00000103365
PRKCB,ENSG00000166501
AC008731.1,ENSG00000261669
LCMT1-AS1,ENSG00000260448
ZKSCAN2-DT,ENSG00000274925
IL21R,ENSG00000103522
SH2B1,ENSG00000178188
RABEP2,ENSG00000177548
AC009093.2,ENSG00000260517
BOLA2,ENSG00000183336
NPIPB12,ENSG00000169203
HIRIP3,ENSG00000149929
INO80E,ENSG00000169592
ALDOA,ENSG00000149925
PPP4C,ENSG00000149923
BOLA2B,ENSG00000169627
ZNF48,ENSG00000180035
DCTPP1,ENSG00000179958
ITGAL,ENSG00000005844
ZNF689,ENSG00000156853
SRCAP,ENSG00000080603
ORAI3,ENSG00000175938
STX4,ENSG00000103496
ZNF646,ENSG00000167395
ITGAM,ENSG00000169896
ITGAX,ENSG00000140678
ORC6,ENSG00000091651
NETO2,ENSG00000171208
ITFG1,ENSG00000129636
AC007533.1,ENSG00000261369
N4BP1,ENSG00000102921
AC026470.2,ENSG00000261267
CNEP1R1,ENSG00000205423
TENT4B,ENSG00000121274
NOD2,ENSG00000167207
AC007728.2,ENSG00000261644
HNRNPA1P48,ENSG00000224578
AKTIP,ENSG00000166971
AC092140.1,ENSG00000260621
BBS2,ENSG00000125124
MT2A,ENSG00000125148
AC026461.3,ENSG00000260823
NUP93,ENSG00000102900
COQ9,ENSG00000088682
ADGRG5,ENSG00000159618
ADGRG1,ENSG00000205336
KATNB1,ENSG00000140854
KIFC3,ENSG00000140859
TK2,ENSG00000166548
CMTM1,ENSG00000089505
CMTM3,ENSG00000140931
AC018557.1,ENSG00000260465
AC018557.3,ENSG00000287965
FBXL8,ENSG00000135722
TPPP3,ENSG00000159713
ATP6V0D1,ENSG00000159720
ACD,ENSG00000102977
CENPT,ENSG00000102901
THAP11,ENSG00000168286
EDC4,ENSG00000038358
PSMB10,ENSG00000205220
PLA2G15,ENSG00000103066
ZFP90,ENSG00000184939
TANGO6,ENSG00000103047
SNTB2,ENSG00000168807
NIP7,ENSG00000132603
NOB1,ENSG00000141101
CMTR2,ENSG00000180917
PHLPP2,ENSG00000040199
TXNL4B,ENSG00000140830
LINC01572,ENSG00000261008
ZFHX3,ENSG00000140836
AC138627.1,ENSG00000261404
AC009120.2,ENSG00000259972
TMEM170A,ENSG00000166822
KARS,ENSG00000065427
CNTNAP4,ENSG00000152910
SYCE1L,ENSG00000205078
WWOX,ENSG00000186153
AC046158.1,ENSG00000260733
MAF,ENSG00000178573
DYNLRB2,ENSG00000168589
CDYL2,ENSG00000166446
CMIP,ENSG00000153815
HSBP1,ENSG00000230989
COTL1,ENSG00000103187
ZDHHC7,ENSG00000153786
KIAA0513,ENSG00000135709
GSE1,ENSG00000131149
C16orf74,ENSG00000154102
IRF8,ENSG00000140968
MTHFSD,ENSG00000103248
FBXO31,ENSG00000103264
AC010531.3,ENSG00000261592
ZCCHC14,ENSG00000140948
KLHDC4,ENSG00000104731
SLC7A5,ENSG00000103257
ZFPM1,ENSG00000179588
MVD,ENSG00000167508
GALNS,ENSG00000141012
AC092120.3,ENSG00000287351
ZNF276,ENSG00000158805
SPIRE2,ENSG00000204991
DEF8,ENSG00000140995
DBNDD1,ENSG00000003249
RPH3AL,ENSG00000181031
VPS53,ENSG00000141252
AC015853.3,ENSG00000263300
NXN,ENSG00000167693
ABR,ENSG00000159842
YWHAE,ENSG00000108953
PITPNA,ENSG00000174238
SLC43A2,ENSG00000167703
TLCD2,ENSG00000185561
MIR22HG,ENSG00000186594
WDR81,ENSG00000167716
SERPINF1,ENSG00000132386
SMYD4,ENSG00000186532
SMG6,ENSG00000070366
RAP1GAP2,ENSG00000132359
P2RX5,ENSG00000083454
P2RX1,ENSG00000108405
ANKFY1,ENSG00000185722
SPNS3,ENSG00000182557
AC127521.1,ENSG00000262823
MYBBP1A,ENSG00000132382
PELP1,ENSG00000141456
MINK1,ENSG00000141503
RNF167,ENSG00000108523
CAMTA2,ENSG00000108509
ZNF232,ENSG00000167840
AC087500.1,ENSG00000261879
RPAIN,ENSG00000129197
DHX33,ENSG00000005100
NLRP1,ENSG00000091592
TXNDC17,ENSG00000129235
ALOX12-AS1,ENSG00000215067
CLEC10A,ENSG00000132514
ASGR2,ENSG00000161944
ASGR1,ENSG00000141505
DVL2,ENSG00000004975
CLDN7,ENSG00000181885
NEURL4,ENSG00000215041
TNFSF13,ENSG00000161955
CD68,ENSG00000129226
SHBG,ENSG00000129214
PFAS,ENSG00000178921
RANGRF,ENSG00000108961
KRBA2,ENSG00000184619
PIK3R5,ENSG00000141506
AC002091.1,ENSG00000265975
STX8,ENSG00000170310
AC005695.2,ENSG00000263708
GAS7,ENSG00000007237
SCO1,ENSG00000133028
TMEM220,ENSG00000187824
ARHGAP44,ENSG00000006740
CDRT4,ENSG00000239704
TVP23C,ENSG00000175106
AC093484.2,ENSG00000264739
LRRC75A,ENSG00000181350
MPRIP,ENSG00000133030
FLCN,ENSG00000154803
MED9,ENSG00000141026
RASD1,ENSG00000108551
SREBF1,ENSG00000072310
TOM1L2,ENSG00000175662
ATPAF2,ENSG00000171953
DRG2,ENSG00000108591
FLII,ENSG00000177731
PRPSAP2,ENSG00000141127
MAPK7,ENSG00000166484
AC004448.2,ENSG00000235979
ULK2,ENSG00000083290
AKAP10,ENSG00000108599
DHRS7B,ENSG00000109016
MAP2K3,ENSG00000034152
KSR1,ENSG00000141068
NLK,ENSG00000087095
TMEM199,ENSG00000244045
PIGS,ENSG00000087111
AC005726.5,ENSG00000265287
SDF2,ENSG00000132581
TRAF4,ENSG00000076604
FAM222B,ENSG00000173065
PIPOX,ENSG00000179761
MYO18A,ENSG00000196535
TAOK1,ENSG00000160551
ABHD15,ENSG00000168792
ABHD15-AS1,ENSG00000264031
TP53I13,ENSG00000167543
GIT1,ENSG00000108262
SSH2,ENSG00000141298
AC104984.3,ENSG00000265739
CPD,ENSG00000108582
AC005562.1,ENSG00000214719
ADAP2,ENSG00000184060
RNF135,ENSG00000181481
NF1,ENSG00000196712
RAB11FIP4,ENSG00000131242
COPRS,ENSG00000172301
