0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
AGO4	0.0002633532975490731	MAPKAPK5-AS1	0.025943140837752662	AUTS2	0.6301518503956114	OTUD1	3.4185667179287797e-06	CD69	0.3810029576234374	ADGRE5	0.23696167724868034	CHUK	0.028028803548051488	CDKN1C	0.8900758759494278	AC024230.1	6.947334126972738e-09	HIF1A-AS3	0.00010050637105822277	HES4	6.28952071668379e-11	GPR155	1.335113730677338e-09	ZNF22	0.7823538102286103	AC011462.5	9.08133347880381e-07	RNASE6	1.9610656822644516e-25	MXD4	0.0032883343347715034	ESS2	0.09001078205210516	HLTF	0.008691696896285999	ECPAS	0.5394370474241073
NIPAL2	0.000262547051269372	TMEM184C	0.02581433933399802	SDK2	0.6265600809822551	SASH3	3.3982239920387527e-06	NCF4	0.38121720914354373	IL23A	0.23348301437172048	LONRF3	0.027942810367581995	AHNAK	0.8952841242082353	IQGAP2	6.703338507322452e-09	RASSF3	9.857673459241636e-05	CMIP	6.152037133658786e-11	EXOC1	1.3237385150794405e-09	LILRA6	0.782228567645483	AC078845.1	8.403093738970999e-07	AL031428.1	1.9574904938951806e-25	IAH1	0.003194650148084044	IBA57	0.0899031545453671	PATJ	0.00864024664450923	AC015849.3	0.539114935972474
HSPA1B	0.000260042421787219	IMMP2L	0.02576027278369972	OSBPL10	0.6237469203339813	AL592429.2	3.377997378388591e-06	CNGA4	0.39897375180801664	SLC4A5	0.23243052014928933	AC008269.1	0.027643622945331243	NAAA	0.8974473781209091	ACAD11	6.190850051559855e-09	PTPRM	9.828743462200108e-05	ATP6V0A1	6.017494403016696e-11	AC118549.1	1.3187132402001951e-09	CXCL8	0.7760986569406296	CLVS1	8.388749603048366e-07	ACVR1	1.9539217650856567e-25	PIK3C2B	0.00314492637746536	FAM161B	0.08961665425391425	NRG2	0.008583399124718394	TDRKH-AS1	0.5371842935382365
PLCXD1	0.00025795586400896423	ZNF232	0.02545796968945347	HIST1H4I	0.6227078219431418	ZDHHC14	3.3688416761892223e-06	TEX14	0.40876972335551065	MICAL3	0.22992734982274965	RAB35	0.02758411813774387	PRNP	0.8997097767817955	MRE11	6.093486897706625e-09	FBXO38	9.765379374088368e-05	CLTC	5.652634811626581e-11	RAP2C-AS1	1.3074742683946726e-09	AL121944.1	0.7757238046866964	MAN1A1	8.141511739359425e-07	HMOX1	1.8976912306974853e-25	HUS1	0.003118445234279272	ATP8B1	0.08954514416591701	ZFYVE16	0.00857773280374885	AC099518.4	0.5355780835147795
PPARG	0.0002568691805852144	PKIA-AS1	0.02529135358646259	BFSP2	0.6214003960931516	CMIP	3.3288385408570197e-06	AC002429.2	0.4203287776211091	F11R	0.2286152433501646	MARCH8	0.027380939635878378	GNG7	0.9045323651054964	AIF1	5.502219113381888e-09	LDAH	9.759638166861028e-05	FGFR1OP	5.641758617203222e-11	XRCC4	1.2975624973356947e-09	FANK1	0.7753490046761075	LST1	7.78710274487644e-07	AC011997.1	1.8976912306974853e-25	AL117381.1	0.0031165615253030982	AL392172.2	0.08890361904976204	FBXO11	0.00852125325388922	XCL2	0.5352571321136386
AC005695.2	0.00025422003877010295	GMDS	0.024686307405814914	AQP3	0.6191344637848673	ZNF442	3.3216143565783567e-06	RABGAP1L	0.42832632654367275	CEP19	0.22843468240472453	AP003717.1	0.027330347220774442	PPOX	0.906748010133819	SNX9	5.3057544651990376e-09	C18orf65	9.577593232829104e-05	SMG7	5.444202160603033e-11	LINC02798	1.2914048762864005e-09	ECHDC1	0.7749742569912763	KLF11	7.674496507836209e-07	TEX9	1.8942305617764723e-25	UST	0.0031146788537902304	CXADR	0.0885134023657784	EIF4G3	0.008470706206673862	ARSG	0.534294859963202
ATP6V0A2	0.00025222578828493545	AL354740.1	0.024556447476203613	BASP1	0.6180987158752562	PHLDB2	3.301825293423402e-06	PARP8	0.4339273041392093	HSPB1	0.22652249240950517	TBC1D22B	0.027237803928045097	CCL5	0.9080777466898245	AC007879.3	5.25373076566091e-09	HDX	9.57195632492444e-05	PAM	5.3660539592428254e-11	AC131568.1	1.284053324298151e-09	S100A12	0.7747244543119362	MST1	7.622049676756566e-07	CDCP1	1.8031204216863042e-25	ASTN2	0.0030623832126994016	MATN1	0.08826580225001693	TOE1	0.00843715730721025	TMEM44-AS1	0.5307740164014093
AC022137.4	0.0002507276909024364	PXK	0.024537019625276088	FUT8	0.6148429881497893	DOCK11	3.2946573432886345e-06	AC064807.1	0.4480461150094194	AP001636.3	0.22206833418282546	ARFGEF2	0.02720421893126204	DNAJC8	0.9083732788206288	STX18	4.572005947772688e-09	MYEF2	9.437606636393275e-05	NOCT	5.078974205266132e-11	GPAT3	1.2550529356417038e-09	PDSS1	0.7717286478492681	AL355916.1	7.473181181469782e-07	AVL9	1.7640341362006075e-25	TSPAN3	0.003025520807262228	TLE1	0.08812456736645069	METTL25	0.008420427461394103	ATF7IP	0.5291775344081218
SNTG2	0.0002506313265968309	MTMR12	0.024247196078836353	PRSS21	0.6141927492273623	WDR27	3.2857183905855002e-06	HLA-DPB1	0.4519292048460326	ADI1	0.2202823639031003	C1orf56	0.02719582826823076	AC004908.2	0.9115264025499359	FRY	4.178933743681853e-09	STXBP4	9.31052743951822e-05	PHACTR2	4.881824963918519e-11	PPP1R16B	1.2419754316933597e-09	APH1B	0.7717286478492681	FAM153B	7.453971297331675e-07	AL049869.3	1.7226378532131165e-25	SLC49A4	0.002961984150992419	MEIKIN	0.08780745509480131	SYNGR2	0.008398167154810829	PSMD5	0.5237678291864503
LRRFIP2	0.0002459518020808065	ACYP2	0.02421517738071973	LIX1-AS1	0.6138868593210298	AP001347.1	3.2723535608711546e-06	RALB	0.4565117961472023	CCSER1	0.21975517165847658	FCGR3A	0.026936823197852237	UVRAG	0.9227703902680416	C15orf48	4.040951429257594e-09	PGAP1	9.212203233534256e-05	AL035530.2	4.830217845536912e-11	ZDHHC20	1.2290308018053964e-09	PCYOX1	0.7716038960670588	SLX4IP	7.390281312347065e-07	C1orf220	1.7132224324676195e-25	GALM	0.0029565952035318518	PIAS3	0.08763167969469182	CPQ	0.008387056751977599	DOCK11	0.5218653153934015
IL2RB	0.00024303374701616987	DHRS4L2	0.024036549188990175	ASGR1	0.6119765712348613	ADAMTSL4-AS1	3.2625858384788303e-06	JAZF1-AS1	0.4673399217528216	COMMD9	0.2182227011600676	BAG4	0.026878633796475745	AL390198.1	0.9358089052084306	NAPB	4.031706758017333e-09	ICK	9.066553970215959e-05	KIF5C	4.6967075685993204e-11	LAMP2	1.20583125656695e-09	SHLD1	0.7697333296726693	SZT2	7.177633425381137e-07	AC016831.7	1.6991948486485784e-25	TBC1D5	0.002942268386222226	Z84485.1	0.0874912638429021	LEPR	0.00834274649932271	ASCC1	0.521231934818006
FBXO28	0.00024228599017359496	RPP21	0.02377074956840329	CARNMT1	0.6100307918912636	API5	3.1219325697043985e-06	ID3	0.46737441248756606	TMPO	0.21813536396404853	GK5	0.026845431463536594	PRKCB	0.9359077520357773	AC022217.2	3.9223637581223375e-09	LINC02404	8.781756190862693e-05	PPP1R3E	4.647015988425786e-11	PLXND1	1.1943921382549695e-09	MYBL1	0.7688608562803408	SEC24A	7.177633425381137e-07	DHX57	1.5808485090791266e-25	LIN54	0.0029315648797010973	RAB3D	0.08721097673150884	TMSB15B-AS1	0.008298645782071812	IFFO2	0.5205989501789494
FCGR2B	0.00024005564910084217	OARD1	0.02369527670390094	FARP2	0.6091160827413467	ZDHHC17	3.111748485622475e-06	ATF7IP	0.5201562628478549	ZNF671	0.21140027265072325	AL391097.2	0.026696458847551865	ANXA1	0.9424337542485592	NIBAN1	3.6896128850288483e-09	MYBBP1A	8.760999797651949e-05	ACVR1C	4.5978388878734437e-11	MTMR10	1.190981080903705e-09	IGSF11	0.7681132548144249	NR2C2	7.085703688786523e-07	AC127035.1	1.5664628039363646e-25	LINC02828	0.0029191223742325227	PIK3C2B	0.08714101829770533	DIRC3	0.008200180888164637	AF165147.1	0.5187023754115043
VPS8	0.00023311931981282957	ERVMER61-1	0.02352310178089271	FAM149B1	0.6058053897733543	AC010531.3	3.086427505855195e-06	WDR55	0.5211794920597552	ZDHHC15	0.21118691905837583	AL031428.1	0.026400654403457433	ST3GAL6	0.9451046217390745	BORA	3.630778714966011e-09	ANKRD50	8.724787596096547e-05	AF117829.1	4.479280033656197e-11	PPP1R12C	1.1841874339267551e-09	CD14	0.7681132548144249	FCGR2A	6.846070030371605e-07	TNPO2	1.4572846013190459e-25	UBTD2	0.002913804641485413	Z99496.2	0.08647866973408876	GATD3B	0.008162172227876135	CBR4	0.5146054106513904
HACD2	0.0002325798023418482	PFDN1	0.02337993572649664	IGHE	0.5977718936743057	ZNF345	3.0314152324507986e-06	HLA-DRA	0.5672804380247758	S100A8	0.2025730406420655	LINC01033	0.026400654403457433	HJV	0.9452035547949535	LINC00907	3.4253915342926938e-09	FRY	8.70931141163852e-05	IGKC	4.418987990402678e-11	DNHD1	1.1656991230019487e-09	PRR5	0.7681132548144249	MTMR14	6.834295659359038e-07	HULC	1.4506341291411744e-25	CEP170	0.002908495751617828	GRAMD1C	0.08644392221695256	ZSCAN25	0.008145931127763534	AC011476.3	0.514290957608799
MIPEP	0.00023240022372830884	AC010618.3	0.02330863675934358	WWTR1	0.5976207844561003	ATXN3	2.9724748958868765e-06	SNX12	0.5785068129172917	ITCH	0.20156095417188546	TTC28	0.02639247819998568	HLA-DQA1	0.9541108057659725	CHST12	3.2140065672760723e-09	MOB3B	8.64254716888018e-05	MINDY3	4.2758508710488635e-11	TERF1	1.158493378515568e-09	AL122035.1	0.7668677319100934	SEC61A2	6.734998275557747e-07	LINC01301	1.4087777016793574e-25	AL136962.1	0.0028785784455975585	NCOA3	0.08602783088409956	AC021851.1	0.008102762850376857	IGFBP3	0.514290957608799
ABHD12	0.00023087905054484923	NME9	0.023055974374952562	ISOC1	0.5836068327790638	ANKLE2	2.9562986961573888e-06	AC093157.1	0.580278755679692	RAPGEF5	0.19785440051529746	MOB3B	0.02639247819998568	Z95331.1	0.9630733226291897	SLC2A6	2.6841395576206843e-09	MARCH8	8.596609369095701e-05	AC079807.1	4.149303567595607e-11	GSE1	1.157388663795998e-09	GYG1	0.7656228110487118	AC254562.3	6.711837032466619e-07	TRNAU1AP	1.3959447159168247e-25	SRPK1	0.002842009712162594	TMEM39A	0.08513185034695836	CDK19	0.008075886779903913	LINC00513	0.509273330231313
ARAP1	0.00022910139919589466	CDK5RAP2	0.022757134985521895	TBC1D5	0.5754136716609985	THAP4	2.9450256444621404e-06	ANXA1	0.5949349035723627	ERICH1	0.19746822589715118	SMARCD2	0.026359795260956775	CASC4	0.9654014152111654	PLCB1	2.612585154578375e-09	HIP1	8.576266712670578e-05	MYO1D	4.10130774092004e-11	ADCY3	1.152980066198582e-09	PIK3R5	0.764627309858888	OSBPL2	6.654269231914257e-07	APLP2	1.375652511544571e-25	AGBL3	0.002836820374107951	FADS2	0.0849946793306264	CEP57L1	0.008043740858904047	MIR22HG	0.5077105962141983
LINC01505	0.00022751250384138303	BCL3	0.02275107143048327	AC018557.1	0.5705609755095185	ZNF561	2.938602429625798e-06	S100A8	0.5988011701147702	MRPL20	0.19609064739360016	AF117829.1	0.026042965080263207	ADK	0.9911742782782994	MTHFSD	2.3481278848176503e-09	KRBA2	8.465192718018998e-05	MLF1	4.0420763508914e-11	PRDX3	1.1524301439790385e-09	FBXO32	0.7643784952484354	ASPH	6.637091878084585e-07	SPON2	1.348227293009849e-25	C1orf35	0.002807577197004385	BX284613.2	0.08472087354386272	SRBD1	0.007979792496690152	PSMG4	0.5008645828757787
AP005482.1	0.00022720475551032761	MAGED2	0.022563796235060628	LYZ	0.5702652604519117	AREG	2.9273941323129575e-06	CD79B	0.5998575804829267	CDC26	0.19492122951179458	AC006460.2	0.02588980815679197	VEGFA	0.9970249838460569	AC092140.1	2.2275932485697757e-09	TMEM267	8.460176341499413e-05	GPR89A	4.038157490244275e-11	XYLT1	1.1502330111495381e-09	C15orf39	0.7638809390206097	NLGN4Y	6.58014209903912e-07	MYO5A	1.1859663172894761e-25	AC107223.1	0.002795616107926569	MIGA1	0.0843455561036458	UBA3	0.007963876708971274	AC067945.4	0.5002446531037383
AC013270.1	0.00022716082337208442	DERA	0.02222888737235418	AFF2	0.5649549216808857	ENTPD1-AS1	2.9178196762190347e-06	SLC29A3	0.6290129975887722	PGBD4	0.18777700806203568	AL391839.1	0.025841604897796727	SLC16A10	0.9940500090526683	IFFO2	2.053222546720262e-09	ALOX5	8.395218547803038e-05	NFATC2	4.0264232008921025e-11	THADA	1.1463978516901937e-09	PRRG2	0.7628861192113987	MARCH3	6.340579143215251e-07	GBA2	1.181626594604995e-25	SMARCD1	0.0027871009858653336	LINC01118	0.08417540262486443	HES4	0.00795857776716532	CAMTA2	0.49931552214218844
ZBTB43	0.00022419207312714373	CMTM3	0.02198643524118969	HPS6	0.5642192595486913	KLF12	2.884545122644839e-06	CEBPB	0.6382745883124746	LRRC75A	0.18765959734373883	ANKDD1A	0.025841604897796727	ANKLE2	0.9917692488854319	AL358790.1	1.9888085484266643e-09	RCOR3	8.355479095810917e-05	AC073343.2	3.831970486925698e-11	TBC1D32	1.140940671000434e-09	ENG	0.7599040148022501	BYSL	6.167778280988346e-07	CC2D2A	1.179462639112865e-25	ADSL	0.002765072411599251	ZFYVE1	0.0839037350187803	BTBD2	0.007947989355011023	FTX	0.49653363794339
ALG2	0.0002240185799326369	HIRIP3	0.02193939668910912	GNG3	0.5625289891026104	HES4	2.8531937758854756e-06	TANK	0.6386768142630527	KHDRBS2	0.18325727569327688	POR	0.02580951252501562	PLXDC1	0.9876045692792459	EHBP1L1	1.8156291078588815e-09	SRC	8.176413094958212e-05	MCU	3.8208228152442215e-11	LINC00662	1.1365931696775428e-09	TIFA	0.7590349039962911	MYO15B	6.157130295427316e-07	CENPP	1.1644245341476244e-25	TALDO1	0.0027015899410335817	C18orf65	0.08373430351884385	PREP	0.007863735217651532	DUSP10	0.49529990279961933
OBSCN	0.00022006285116680697	AZIN1-AS1	0.021740458328442028	ESR1	0.5597417362830825	SPAST	2.809850684601907e-06	AC104984.3	0.6473097729712881	ZNF862	0.18046654820331465	S100A8	0.02579347926748835	PHF7	0.9871087943656426	MYO9B	1.787534690134101e-09	LINC01220	8.15943429038765e-05	SLC35B1	3.8023138427662184e-11	TOPBP1	1.127946566727401e-09	GASK1B	0.7560574118581684	RHOQ	5.835692692328287e-07	AQP4-AS1	1.1559168150859464e-25	CD28	0.002698285943638486	ZNF268	0.08336252932858955	PYGB	0.007853259902438056	STK10	0.49283735249204896
LDLRAP1	0.00021325628174355087	MCM7	0.021410465318391362	NCR3	0.5593022567899005	APLP2	2.808314462094725e-06	GNG2	0.6536736966483417	GZMK	0.18039053666359628	DTL	0.025585829476995614	APC	0.9860181073477312	STK39	1.7667423106364969e-09	SCART1	8.125576606469403e-05	NOTCH2	3.657367025711127e-11	CDK5RAP2	1.1097849391011694e-09	ANO9	0.755685478893315	KCTD2	5.720613833566431e-07	NSUN7	1.0840542926703099e-25	ANGPTL1	0.0026184825859968948	ICOS	0.0826900023129934	CPEB4	0.0078480269339117	PRKAG1	0.4894620881293815
DUOX1	0.0002105403272425856	IMPDH1	0.021284271086500012	COMMD10	0.5572535697513283	RUNX2	2.7057211151924377e-06	AC022916.1	0.6809047130962591	JDP2	0.17531457417574958	NOL4L	0.02556991648370334	PCGF6	0.9839359609556024	PRKCD	1.6793328786567059e-09	UBASH3B	8.072639849671707e-05	NLRP3	3.487161714118476e-11	BAG4	1.1097849391011694e-09	CADM1	0.7549417828837757	CHUK	5.632081280304267e-07	ACSF2	9.781762865140434e-26	PARP11	0.002612064242916405	C4orf47	0.0824891039243995	DNTTIP1	0.0078010706014589905	AC010894.3	0.4876262938087722
E4F1	0.00020813995992141678	LCN8	0.021284271086500012	TNFSF13B	0.5568150412885282	MMS19	2.6703780396315727e-06	KIN	0.6893444393089223	NFATC2	0.17499857931492124	IGLC2	0.025561963198275688	LRMDA	0.9746174194818941	KCNJ15	1.6391437749967938e-09	AL121933.2	8.039122733785374e-05	HLA-DMA	3.393407863007281e-11	AC090559.1	1.1044977631196732e-09	DOCK5	0.7543222096579101	PAX5	5.383677889791047e-07	SCGB2B2	9.74590806861723e-26	PIGU	0.0026024636932689186	EEF2K	0.08245565936053374	ABCD2	0.007790670106740133	EEPD1	0.48548923938118427
AL359220.1	0.00020753380813588168	EML2	0.021178655132046267	CROCC	0.5460153778839021	GRAMD1C	2.6645307701447898e-06	CYP2D6	0.6905058849223586	NKIRAS1	0.17147745242238877	RGL1	0.025387531574175438	RAPGEF1	0.9738244941497031	RUNX3	1.6111926850939487e-09	PBX4	8.029570603040122e-05	ADORA2A-AS1	2.980717299975399e-11	TULP2	1.077397889816115e-09	ITGAX	0.7528358795777335	PDLIM5	5.383677889791047e-07	ARHGAP24	9.621439048618074e-26	RFC5	0.0025533728312315666	AL022345.4	0.08215515271748257	DAB1	0.007780282037381169	WARS	0.48457491321031043
MRPL20	0.0002074531132837868	ISCA2	0.02117580699432644	ZNF516	0.5446772749910076	GAS2L3	2.6282627858434524e-06	YBX3	0.6944103427060564	TTC39B	0.1709292494488811	LINC00504	0.02534013844588792	GTF2H2	0.9674820885343623	ASCC1	1.3401537639883365e-09	OSBPL10	8.02002920184352e-05	ADGRL1	2.9719994511856906e-11	XPO7	1.075340348800715e-09	AC023906.4	0.7523406394434357	VAV3	5.163783289576954e-07	PTPRJ	9.551022649447331e-26	PFAS	0.0025128544544835087	AL591043.2	0.0820884942182628	PDE3B	0.0077336891474599125	AC005480.1	0.4827490639508193
AF165147.1	0.000207211205513274	LITAF	0.021062154755261134	BCL2	0.539521053014129	AC242426.2	2.626821966545824e-06	BLVRA	0.7315134966253299	KLF12	0.17080152449451613	LUCAT1	0.025261320036215555	DOCK8-AS1	0.9551998854042218	NAGPA	1.0178111094782703e-09	AC010967.1	7.901662406040505e-05	RHOU	2.9316450233354496e-11	MINDY3	1.0640921738597417e-09	SORBS2	0.7519692762234406	NEURL4	5.159295547314392e-07	TMEM140	9.257407679800079e-26	ATF7IP	0.002491281304254265	ADAM19	0.0820884942182628	STAM2	0.007702766290202357	ARMCX5-GPRASP2	0.48183754285095204
ENOX2	0.00020713062848509898	AC011476.3	0.020674124401856113	HEBP2	0.5391254353688586	KIAA0513	2.6210662666011634e-06	PYGL	0.7475786481152489	DNAJC1	0.16945565889859737	ACSM3	0.025253449877909763	ZFYVE9	0.9413458068854264	SCFD1	1.0097906152657029e-09	IL24	7.743331914647207e-05	BANK1	2.9003146688981945e-11	AC243829.4	1.0549745248098907e-09	EIF4E3	0.7511029854632274	TYW1B	5.123528754819148e-07	GNS	8.890679726575632e-26	GRSF1	0.002477502467267618	WDTC1	0.08198858871768924	DHTKD1	0.007692483322630161	FPR1	0.48183754285095204
TMEM182	0.00020321821244121207	AHR	0.020512908592818117	SMARCD3	0.5389097052119396	AC009315.1	2.5613576478714744e-06	CAPN5	0.7479198673019647	ZEB2	0.16813578849838595	CORO1C	0.025198418168171238	PGD	0.9373905721482082	CD38	9.868781147682784e-10	TRGC2	7.68359029906461e-05	PPP1R9A	2.8386339933709958e-11	TBCEL	1.0479357274985608e-09	AC023509.6	0.7493713457867068	CRPPA	4.991520841627856e-07	ATP6V0A2	8.793186950554518e-26	CDK5RAP2	0.0024546926058748777	CNIH3	0.08172265611197513	FANCC	0.007692483322630161	THEM6	0.4809269587551407
SIRT1	0.00019999801313409226	COMMD10	0.020496293836486625	MSMO1	0.5344609925694869	CLIP4	2.5236653211478513e-06	LINC02156	0.7589503190819487	CTSH	0.1634269537741978	PSTPIP2	0.025065201712125073	TCTEX1D2	0.9274106964717654	MFSD4B	9.001924074502058e-10	FRMPD3	7.615199249558346e-05	ANKMY2	2.7377817006230315e-11	AL357153.1	1.0163372283394968e-09	C7orf25	0.7485059988982667	SORT1	4.7662812364269956e-07	PKNOX1	8.601369187217025e-26	ZFP82	0.0024343282080246174	SLC2A3	0.08172265611197513	SLC10A1	0.007687346453875915	FGR	0.48062363911617045
LRRC58	0.00019925874137709116	RPIA	0.019959960496437164	SKA2	0.5343177948873113	AC009522.1	2.4337567465978637e-06	ATP2B1	0.7854818575269834	AL031727.2	0.16237076273536188	CCDC9	0.024917034697025393	KIFC3	0.9193165410180252	AP002383.2	8.1899245096031e-10	ZHX3	7.569925440590083e-05	AL353660.1	2.7351052231679067e-11	KLHL20	1.0163372283394968e-09	TNFSF13B	0.7480116570664468	MAP4K3	4.647219741784116e-07	FAM184B	8.585572858641386e-26	GPR155	0.0023948026302031567	OBSCN	0.08162311197224632	HSPB1	0.00762084637171482	TCF7L2	0.4797143058855218
PRDX3	0.00019636555922359405	DAPP1	0.019911325174704893	REEP3	0.5335663249351642	AC239799.2	2.432418436576278e-06	THAP2	0.7928928258798199	CTSZ	0.1607438568520725	INSYN2B	0.024669204404726502	PLAUR	0.9161600658981502	ITGA5	7.402163443119283e-10	P3H1	7.347348768077068e-05	LINC02391	2.7244249015093414e-11	ZNF516	1.005691342042027e-09	CHST7	0.7477645249829583	RAB11FIP3	4.6189134897597347e-07	FBXO38	8.398244961405736e-26	SCN11A	0.002358053770610905	EPB41L2	0.08132506969675046	MYOM2	0.00760557362263903	LEF1	0.479411403491113
AC099489.1	0.000194155280601239	FDPS	0.0195259530758478	INTS12	0.5288906736943948	KRCC1	2.4297439357335966e-06	EGR3	0.7950199217682931	SH3D19	0.16001317523628544	TBC1D7	0.024538415204733547	ZEB2	0.913399232362497	LINC01137	6.977766328565818e-10	MMS19	7.225424234784623e-05	MTMR3	2.67424831012777e-11	PCNX2	9.989733858142166e-10	PLAAT3	0.7454180662635024	VPS41	4.594783418094402e-07	SLC7A11	8.154762450687367e-26	NPHP1	0.002311768763601182	PCDH9	0.08109387018214663	ACACA	0.007559919870903838	GPRIN3	0.4788059119420529
DPYD	0.00019385225576786205	TMCO4	0.019520646885216618	PLXNA3	0.5169942459593863	FBXO28	2.4031537360463166e-06	LINC02432	0.8291627176175793	YWHAE	0.15928500767750198	DHX33	0.02450006231504846	LINC02062	0.9125120418569247	AKNA	6.587666709364765e-10	ST3GAL3	7.225424234784623e-05	PTRH1	2.601948680376536e-11	DNAJC25	9.922991958208248e-10	OGN	0.7395007256699041	TMCC3	4.4564297606118263e-07	LINC00641	8.006152619088422e-26	ST6GAL1	0.002311768763601182	PRH1	0.08073163492244845	DOCK3	0.007519545189948716	TP53TG5	0.4778984582558764
ACACA	0.00019385225576786205	ZNF226	0.01911323007482731	TEX14	0.5121486762721309	CLDN7	2.3430523317448923e-06	S100A9	0.8639411448360647	STX3	0.15802535268941542	IFIT3	0.024484735709375916	CNGA4	0.9120192052839191	GK5	6.273883795992492e-10	SEL1L3	7.216788972506706e-05	POPDC2	2.5917776146142912e-11	NSUN3	9.632610454566792e-10	AC012447.1	0.7393776101873398	LIM2	4.436996021798641e-07	SEC61A2	7.860227546061034e-26	FUZ	0.002307472484878157	SNHG22	0.0806659153469279	SNX30	0.0074994304449517235	LONRF3	0.47729401197371546
SLC25A37	0.0001935496754103755	ANK3	0.018872364654838557	USP6NL	0.5083381906362707	EEF2K	2.3353202377785884e-06	PPOX	0.8674391325306744	ATG4A	0.157304046891674	PARD6B	0.024477075522631828	E2F3	0.9051231318347688	FBP1	6.154467585866223e-10	ATP11A	7.165182047140944e-05	IRGQ	2.499521561050403e-11	LINC01703	9.522443809755893e-10	ALG1L2	0.7393776101873398	MTMR8	4.3945291471042767e-07	GANC	7.356392618965857e-26	MRPL19	0.0022846822550523357	MOSPD2	0.0803707147148808	WASHC2A	0.0074944093038251435	ZBTB14	0.47668998429742826
PINX1	0.00019294584570347473	CCDC91	0.018805502546521084	CHD7	0.5033270438509583	YIPF6	2.317373843151839e-06	NANS	0.8981832881974465	ZDBF2	0.1553078530718602	ICK	0.02435479467138702	AC108471.2	0.9015793304786842	INTS9	6.144616944633098e-10	TUBG2	7.13523942094607e-05	DSN1	2.4970733055541774e-11	HEATR5B	9.422537714829965e-10	TRIQK	0.7386390576549593	WDR12	4.3906880244444684e-07	ATF3	7.189046810419814e-26	ARMH1	0.0022804321118056153	KAT2B	0.08023979642106674	MTERF1	0.007484376064811578	NOL4L	0.47337532728665344
ZSCAN25	0.00019256935160221573	RPGR	0.01868771550444534	CENPJ	0.5025984377033277	LPP	2.286916250994079e-06	IQSEC2	0.9317657755402687	EML2	0.15192347807641735	AL391839.3	0.024331926050254686	PDE4B	0.8939079123646724	WDR81	5.957962968016865e-10	DIRAS1	7.06724299782244e-05	GZMK	2.4775715876481788e-11	AL139807.1	9.404483118948161e-10	ANGEL2	0.7361789605121218	BRMS1L	4.295705834466511e-07	EVI5	7.038423930212176e-26	MED21	0.0022564844741115673	OSBPL10-AS1	0.08020709393358136	C1orf54	0.007384704224536685	SLA	0.47337532728665344
CENPP	0.00019204341960948838	CHODL	0.018667296819052166	ORAI2	0.4945175536304005	EIF4EBP1	2.279362125745862e-06	SMARCD2	0.9476204212378624	POC5	0.15032700905900803	MLH1	0.024293853040061517	UFL1-AS1	0.8836458393037859	NME9	5.48758784300905e-10	TNPO2	6.89992384348417e-05	E4F1	2.475144380766916e-11	DLG2	9.305784263852356e-10	HARBI1	0.7361789605121218	ZHX3	4.0013867449287073e-07	DNAH1	6.95467733927679e-26	LPP	0.0021030700662180678	AC120193.1	0.0801744022756533	AC008440.1	0.007330393734082592	AC020916.1	0.4664858315747066
ANGPT2	0.00019114496122940572	RMDN1	0.018657094797765453	ZNF28	0.4945175536304005	DEXI	2.195406097085174e-06	ANXA4	0.9794755397605599	TNFRSF4	0.150227656088104	SAMHD1	0.02422545173975129	DDIT4	0.8752640161892606	ASTL	5.080021828666731e-10	RASGRF2	6.716171569020578e-05	ASPH	2.4582189885434773e-11	MAML3	8.844219252971031e-10	SMG9	0.7330462582546194	AC009522.1	3.997877706941989e-07	AL356599.1	6.935491903661764e-26	PTTG1	0.0020860482058636465	MFSD11	0.07997847961355468	CHROMR	0.007184091033442247	ESS2	0.45728869059668587
CRIP2	0.00018958215769505118	PTRHD1	0.01833319549929987	AL157871.4	0.48262948236247516	LARS2	2.1533591950455372e-06	LAIR2	0.9914660760352558	AGBL3	0.1494841041978946	CXADR	0.024179943679315512	BDNF-AS	0.8752640161892606	SYNJ1	4.759244083100015e-10	HERC4	6.679981143394809e-05	RGL1	2.4366241703396983e-11	TMEM140	8.776517390394908e-10	PDE9A	0.7327393688001854	ZDHHC21	3.8565363038738856e-07	GZMH	6.821476012658425e-26	RUNX2	0.002075636121402755	MROH8	0.07978294620697864	ATP1B1	0.007179259734695855	IFFO1	0.45493187193772544
TGFB1	0.00018280442420921965	MRPS7	0.01827301545032046	PAX5	0.47958044987930226	GMDS-DT	2.148603375005603e-06	AP002954.1	0.9899839402878916	ZNF260	0.14821832248287925	TMEM161B	0.024104261601417095	NCF4	0.8708580831401682	LINC02100	4.751579167086841e-10	RHBDD1	6.51939592630919e-05	SETBP1	2.4034008477388757e-11	CEP128	8.72607295185196e-10	SERPINA1	0.7300405888363726	PTRH1	3.772732319045278e-07	TEC	6.771400519002922e-26	EXOG	0.0020678583663582928	GRK5	0.07971785481586445	INPP5F	0.007111927098670244	AL008633.1	0.4534623413584551
